,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2001-12-01,141513.6164605882,235326.96183315327,123211.48852029447,175406.12762700266,201953.45211608664,113791.64391632738,127197.18138241442,247273.04885608432,148050.89668586614,188833.2787513955,211670.66633686124,144124.07640480358,196277.85885910038,167531.18802249455,215064.72713242905,165243.500592574,177111.3984749297,138378.60470391164,,154337.10089968963,112790.85602910748,168383.72613413326,106656.44909938083,121151.34017439226,135690.01728941276,130879.74981340545,114860.25235954863,159383.6670356618,,158041.05655106026,167885.68537676745,125847.83340025989,104906.57121646317,128916.08110967609,93103.86436994631,91938.72571755991,100632.66352348826,78436.90348246724,128041.88415169656,,188116.26757768777,92077.3208820657,107092.39871365538,94780.17362482722,161131.21031162466,,86865.15987165493,108105.76758796185,106589.00131077539,96167.0146787142,111954.59289619933
2002-01-01,142463.0280762224,236767.93091205438,124143.013265815,176833.72180230706,203683.12683803064,113822.40401871673,127762.47850213358,249653.71995892085,148582.94717693175,189551.84337630647,212139.26742540242,144681.61815956212,198407.84064732693,168378.1590688212,215833.2262051904,166949.3799587274,177132.77138684058,138866.0914860557,,155539.48379643794,113074.94493725,169599.52208128126,107128.99009619742,121398.75354138746,135908.79516423782,131941.8944509863,115021.74685431788,159884.07617445593,,159643.6388885552,168668.67704040068,127106.9616648724,105049.23005812237,129501.47781963377,93193.56268934335,92070.29114657034,100679.33835424272,78525.92573666584,128214.02737158832,,189298.39854700633,92281.54429540232,107708.28389816576,95160.30588801875,162029.95758360595,,87077.73986509447,108234.42511552975,106881.17860206553,96441.2597193368,112229.21859516524
2002-02-01,143404.25666606298,238241.14098441938,125004.68541578756,178129.77046936203,205464.3145247853,113907.67721238693,128246.86200557459,251693.00120140787,149064.71655170663,190251.6653527196,212559.542451548,145333.69134554642,200544.07443853724,169124.03392974372,216833.2099230194,168586.71865557064,177052.50616767208,139335.64237763322,,156543.02906913726,113393.01752879405,170773.19378775472,107596.99353912049,121547.75005508728,136093.86566628414,132993.2231660942,115196.48937865948,160372.11360788386,,161298.25095195256,169295.35220610644,128377.68685101147,105203.30377544502,130043.56879060663,93336.64856574677,92114.77005913464,100666.41634451196,78727.31854012904,128465.51890967022,,190377.79232870878,92484.51394588384,108294.29529869859,95477.70264273761,162933.2239671936,,87339.88387651237,108695.12591767561,107161.65731620356,96621.8228905865,112454.62062031485
2002-03-01,144391.56075180668,239965.49621186222,125847.14552011888,179228.9426781313,207284.17927597664,114121.35973406491,128672.9733760624,253770.32183773894,149587.94687450913,190866.56971501975,213160.87029521112,146125.94039347235,202528.04613777812,169944.76231630275,217979.24406300648,170040.3017997195,177102.7572594301,139762.392774862,,157468.43225734239,113762.87975106027,171951.57191880138,108084.95663397404,121677.20861403439,136269.96048911157,134077.59514255484,115377.46895464294,160849.65040529062,,162916.77284765916,169817.48403922556,129721.20638683758,105333.07112554864,130537.91577443847,93517.57985400168,92153.4433566128,100500.4488389641,79012.75123831719,128658.5050049041,,191623.20913240113,92675.00728383545,108799.31642442406,95762.32870874158,163897.14782238755,,87587.78808648889,109061.10367871898,107510.44738646701,96713.50119059875,112671.21722681286
2002-04-01,145507.2927165447,242292.25718453774,126795.06874227982,180312.47372319564,209118.03143224,114497.13090137269,128985.22029212181,255981.43675415442,150169.13344406293,191429.23997724624,213941.40728229773,146865.6398062594,204831.3815402918,170880.24744626295,219448.4921196037,171582.92081471146,177229.3211798164,140217.9558830002,,158349.9802732763,114198.5525780167,173275.02815301044,108621.92776754468,121797.67938852792,136385.80653197106,135122.12062783338,115541.18321316846,161344.03159625726,131014.81774573795,164774.63841563172,170674.4824585915,131103.28364852082,105480.00478299258,131011.36063323193,93727.71149933216,92113.62540789541,100356.56281323917,79258.19144646234,128867.94934650576,,193093.09436086894,92870.45611198353,109280.91066233824,96027.53841137367,164907.8533822994,143432.93956059945,87850.51004374231,109312.93594873807,107794.83702127913,96960.32386327721,112890.17591667901
2002-05-01,146656.3206186456,245009.02220393842,127835.12807576703,181467.52538651225,211020.3098945947,114939.83347715979,129304.0431508398,258368.72813484215,150759.00050097887,191922.19383964688,214823.39951425616,147650.04586271438,207424.17189287557,171935.2913540148,220746.85786840421,173062.0198890661,177339.7812307685,140682.6779157937,,159492.45468588304,114999.44179169148,174931.2917121506,109208.66215576796,122010.33895760444,136565.6348005693,136101.26883564188,115723.89892928295,161970.4367001958,131237.32628324555,166937.82278958717,171443.79579583692,132419.62830492976,105667.05274240742,131510.99213828266,93999.69124743936,92217.53735509461,100391.1063080918,79467.30606572775,129100.52737642563,,194830.94268010953,93051.44990567288,109784.42918647593,96039.48561005063,165908.14814517598,142158.01761658926,88081.21560761106,109415.37919899837,108190.1933101105,97332.36247730965,113149.4912798512
2002-06-01,147925.46763902178,248023.28739328004,128922.564290346,182808.71979872882,213156.14744032934,115435.82160962552,129656.80446213378,260850.48096939435,151422.30862290668,192363.3525728636,215570.38665818892,148423.7022072481,210305.06902812875,172824.97086451526,222177.83627591727,174716.243691501,177437.6958981715,141158.67575613185,,160664.29076462143,115758.07056974352,176829.77407530355,109854.67034753505,122237.85259255856,136754.25885069286,137058.05818332208,115933.14512783992,162718.81929483262,131335.8872664387,169336.4208986785,172064.31310478647,133790.51564513196,105899.81596711151,132053.92263490948,94324.49920940254,92394.33130352938,100647.18564731466,79668.04443250434,129444.11137508485,,196813.4410243237,93252.8568115355,110364.99211281097,95972.62494583095,166973.50370598526,141577.07545633696,88317.01058531231,109764.07478402743,108503.91849443702,97817.40048660443,113439.80707502046
2002-07-01,149272.36997091793,251510.45309318183,130029.67674017626,184249.3988757705,215554.61180358788,115939.98816619448,129999.27494093294,263657.5176323205,152140.0317919918,192923.23791750878,216295.72718719437,149353.92281058946,213122.2043875996,173637.89220262918,223924.92693343374,176384.56119200017,177532.94994007904,141607.82707246277,,161940.6774631675,116557.70233240821,178939.64265009458,110577.65974315366,122562.50174648869,137011.7257318728,137920.8159267153,116178.2762192168,163537.75930517353,131674.49852773684,172021.5722852285,172622.22421902962,135170.82357551748,106170.37388263932,132623.665509164,94701.43146324642,92702.64013487885,100995.83064610783,79916.03915369544,129791.94848602153,,198924.685732647,93503.36548183944,110995.2140092204,95878.07987134419,168066.49247454607,140689.758072612,88569.02074238636,110182.55732090301,108849.2468533509,98251.70046744337,113778.86547844263
2002-08-01,150708.95471087718,255264.28564190643,131212.85507444295,185858.08535967514,218482.44491375049,116472.76840048179,130385.31675207552,266636.58040129393,152956.59463206728,193595.7193227231,216808.68730854374,150537.6111229251,215786.41747291712,174394.0517184336,226180.93626391093,178312.04445409938,177560.55865987958,142040.07977161332,,163097.90181533372,116707.53548865831,181103.25141569483,111393.65015128412,122876.17885335286,137267.28695328682,138718.18206714207,116402.9853133125,164218.59043807103,132043.6887571024,175192.6047837796,173201.2404626067,136473.53189237873,106413.60726937611,133261.56419424978,95031.12040538991,92981.58258299921,101177.8835540815,80204.57426006753,130114.51416127157,,200984.1847462227,93778.90146575961,111575.59013846434,95858.4382436861,169247.97331165292,140770.36933644803,88836.41721904378,110568.97656127723,109145.9480524522,98632.66638165699,114132.56782290479
2002-09-01,152145.3621563229,259056.7589722761,132383.4145429892,187515.54966110736,221735.18405174706,116942.33140239822,130752.70727912075,269920.80237400084,153662.06158640218,194264.11186512458,217343.46391256747,151846.77972070585,218555.6481593308,175095.73460124826,228903.27624894746,180362.03187847883,177437.1686916536,142482.5364207674,,164300.6150526776,116819.89364150328,183219.66229720964,112240.43327475974,123189.14373841544,137525.16901351328,139411.95803540762,116637.04387058031,164809.70786332854,132483.00071774353,178958.7027483049,173834.45311928587,137720.92991563727,106671.81883653514,133919.53699246628,95369.07013863027,93307.26118602809,101212.43672246065,80492.6156115689,130424.50202923642,,202824.7795053942,94071.87953583035,112166.56818782387,95884.59638485708,170358.45302448267,141342.7375170363,89125.99970314087,111059.15115384317,109468.18614791708,98928.48874640006,114488.76427007998
